tweet,topic,sentiment_label,sentiment_score
thanks following,0,2,0.72531646
twittering looking miley cyrus luv xo,0,2,0.8099256
hey kim im huge fan ur like role model really hope actually meet u one day,0,2,0.9711127
going outside,0,1,0.10481654
oh demi sure knee slapper,0,1,0.0051035956
hi luv sounds like busy day hope went well,0,2,0.9441429
going mall,0,1,0.024850518
mad completing mission without app good pretty,0,2,0.88552475
boulder creek gram,0,1,0.030751452
love baby,0,2,0.9011725
well pizza good,0,2,0.9083953
qotd quothey still havent told guys story english heritage fella hes lucky still alivequot,0,1,0.1799531
im still sitting maybe ill go get air seriously need help life almost cluttered room,0,0,-0.7555118
come could use nice decadent party,0,2,0.82665616
beer corn dog know weird combo santa monica pier,0,1,-0.15209639
tweetup afterparty genji,0,1,0.06822404
know im normally il though il cool see happening world twitter,0,2,0.77540636
wife shopping great mall milpitas great prices us dollar still reasonably low us,0,2,0.9302731
goiing reedbox get moviies,0,1,0.02300515
good thing p k day jobs,0,2,0.6829309
fact didnt know library closed 6 lame,0,0,-0.7795656
aw well u ever feel like flying 2 ill help u find place 2 crash flew 2 london 4 buffy btw,4,1,0.06969078
fabulous 15 hr run desert missy kaya run errands buffalo burgers,0,2,0.8065634
ways least rate though may even bake something tonight knows,0,1,0.06722237
oh good thankyou,0,2,0.96714556
im feeling peaceful room clean ny hair cut think im ready nap,0,2,0.8841444
seth mcfarlene god,0,1,-0.0009377003
im glad guys wonderful weekend,0,2,0.9866447
sure bb,0,1,0.25536382
hehe u funny follow,0,2,0.89810973
watching ncis grey hair makes mark harmon attractive think,5,2,0.6692876
yearbook closetill look 2moro u still curious um go school exactlylol,2,1,0.053646
new osalto blog post enjoy,0,2,0.93250406
blasting across universe soundtrack,0,1,0.087603614
cool people,0,2,0.91555405
fun night got see andy yaye took ihop yum,0,2,0.9584587
show last night amazing glad able go,0,2,0.9865816
u learn,0,1,0.004631296
skyping endless fun,0,2,0.89583236
thanks following back,0,2,0.8805968
nice think ill get sleep ill enough energy enjoy horsey day,0,2,0.839545
recently matrix trilogy sittingthat tiring awesome matrix trilogy favorite sci fi film story,0,2,0.7360761
totally agree beyonce shes stupid ali larter,4,0,-0.66199476
dont forget parents often think offspring 12,0,1,-0.09502375
wardrobes often made cheese eat,0,1,-0.075142086
okay texted saying hed wake doesnt call 1pm time thx karen,0,1,0.049181744
watching idnhu vid,0,1,-0.0418514
cant wait,0,2,0.82357436
good night tonightmy journey twit ends tomorrow see tomorrow,0,2,0.6179856
janine whoa dude hahah u really put things sent u sa fb ahhahagee tnx janine,0,1,0.07543673
love diddy diddy live gt,0,2,0.75002295
ive finished eat drink badges gt lt look,0,1,-0.1857849
ready go bed long day today good night,0,2,0.5540621
got must rechargeable,2,1,0.3462656
morning irish btw,0,1,0.21211185
omg fixed ipod,0,1,0.15617236
thinks read real blog awesome like,0,2,0.94107276
quotquotdaiblackish greenquotquotsisilksoquotquot silk blackish green colori hope like,0,1,0.40190378
thank feet legs aching comment eases pain,0,1,0.086563095
anyone care comment last nights hells kitchen well,0,1,-0.31386983
watching wizards waverly place,0,1,0.08828624
sacc meet parents,0,1,-0.110984094
borrowed george,0,1,-0.128274
champagne breakfast bubbles went straight head tho,0,1,0.22189905
welcome home,0,2,0.83932906
heard bootleg remix quotif u seek amyquot kiss fm chicago,0,1,0.03591862
feels like eating 18 inch pizza yellowcab someone give,0,1,-0.14573449
happy sunday getting ready go church love god much u take care friends,0,2,0.98658615
taking dad,5,1,0.021602184
tomorrow computer im phone right,0,1,0.2955436
lololol love man uggs,0,2,0.96397245
ooooo change,0,1,-0.22877231
kim sorry sun burn hope feeling good follow please big fan lt3,0,2,0.8683944
lunch dishwashing im back,0,1,0.21646382
fu 200 followers,0,1,-0.040778413
ah nevermind thought counts also quite predictable,0,0,-0.45022988
last night good watched pearl harbour ellis ben afleck whoever plays best mate fit anth fell asleep lmao,0,2,0.88971865
lovely night,0,2,0.9651522
umm arrangement would earliest day could get,0,1,0.049848393
didnt make cos one mango short use fresh mangoes theyre season,0,1,-0.18042207
home family wet cos rain got call dad bus cos mum got worried wasnt home yet isnt sweet,0,0,-0.74127966
yeah right,0,1,-0.14416158
great thank making music goodness today,0,2,0.98588544
longest sound check ever long time type stage,0,1,0.33476868
well next time next time,0,1,0.22485735
would love see writings think youre great writer judge,0,2,0.89501214
birthday finally 19 woohooooo,0,2,0.93346596
gosh like sayig funny gosh meening word self,0,1,0.22620589
okaaay thats crazy luv ermblue omg,0,2,0.97053885
wont miss star trek movie trekkie crossdressingconference going type lmbo,0,2,0.507865
updated myspace accout love playlist gt,0,2,0.48804864
breakfast tomorrow,0,1,0.10155803
happy birthday,0,2,0.97575384
spaniards notice galician accent speak english find funny,0,1,0.43082267
mysha myreen cute,0,2,0.86627084
peaceful sunny,0,2,0.82694274
going spend sunday family,2,1,0.40452608
maybe connection shite everyone beats,2,0,-0.91780925
hahaha know im uptight thank handsome xoxoxoxoxoxoxox,0,2,0.9610015
good trance music gt redbulls,0,2,0.8976811
first opi ds desire preparing try,0,1,0.07133226
yeah wouldnt care disney channel movie really wan na horrorthriller,0,1,-0.053311646
gosh realised much film studies work pete set us meanwhile im going watch motorcycle diaries,0,1,0.31634948
excited friend date today,0,2,0.9842786
watching nba playoff coverage favourite question jazz chance lakers everyones answer far,0,1,0.08666898
men annoying,0,0,-0.91339636
spending day sister,0,1,0.22262447
watching football,0,1,0.07870044
hope everyone swell day,0,2,0.9453468
diggin mah new sweater,0,1,0.31550142
words may want one u finish,0,1,0.16613139
getting ready go bbq baby daddys house wife kidscrazy huh peacerockin bob marley tee js,0,1,0.2261445
sweet ride days green lizard,0,1,0.3818887
know mean,0,1,-0.2538597
studying happy 420 everyone xx,0,2,0.9418875
taking lunch break great rehearsal,0,2,0.79178876
careful youre tweeting,0,1,-0.011459678
great show night excited another,0,2,0.9851604
loveee sb,0,2,0.9038055
thought imogen heap dude first time heard sings low first album,0,1,-0.21208698
ahhah know want follow toooo,0,2,0.6523116
fina cut da cellie back onn c dun texd meden hit da frenz ampamp c wat iz fa 2 dayy,5,1,-0.11072993
tweeting first time watching music channels,0,1,0.064225495
think need know could go party itll pretty amazing,0,2,0.97873133
im glad pouring bit,0,2,0.8338579
sorry hear root canal good luck fun soft foods,0,1,0.30440837
loved movie zac awesomeee,0,2,0.9871053
lmao aw amazing dont think could ever get used things like hey thats hah aw dna stuffs,0,2,0.60695356
oh think figured cornucopiaamazing like chocolate covered ones yyuumm,0,2,0.9642388
well 50 dollar 6 handed tourney yesterday good,0,2,0.94358575
shit lamee foreal lmao hey follow,0,0,-0.61974657
thx 4 fb u like go get 3 albums mine free donation great time,0,2,0.9519652
giirl u better take care shit goodnight tweeties,0,1,-0.25264013
bden new puppy cute love pic,0,2,0.9781649
nice spring day birds tweeting away,0,2,0.9421237
think cover lucky jason mraz colbie caillat,7,1,0.15674563
asleep 4,0,1,-0.09823342
silly dance tryout friday find today made could wish luck pray please,0,2,0.63144326
supposed gon na drink twitter anywho,0,1,-0.045502912
thank yes expecting sure yet im due ultrasound may 14 growing fast,0,2,0.88541996
removed expired offers weekend lots expected day today chris,0,1,0.18679652
bom dia twitverse,0,1,-0.08763961
every muscle body sore weights greatbut damn middle ear problem whinge whinge,0,0,-0.3490055
lls hell noand imma witness cause 8am 10am class,0,0,-0.562522
thought might show tardisd ipod,0,1,-0.038197912
pleaseee pick really really want picture,0,2,0.73054427
whats weather like london bright sunny warm looks like spring,0,2,0.7447944
great movie keep good work,0,2,0.9732669
watching becoming jane aww james mcavoy irresistibly hawwttt,0,1,0.24450758
let us weird business see,0,1,-0.31534988
music helps sleepless nights,0,2,0.6708773
dont start accusing us getting,0,1,-0.3615915
sun shining,0,2,0.765159
great thanks things end,0,2,0.79017806
looking forward seeing planning going back next year,0,2,0.9518985
good morning ppl hoping get rid monday morning feeling,0,2,0.8517849
finally broke got tix yesterdayso ill seein yas tampa fo sho cant wait til august,0,2,0.8804745
watery tea bag brewed 2 seconds people,0,1,-0.1469771
changed name kinda match real name people know find better plus elliewoo fun say,2,2,0.71612394
hah broke,0,1,-0.25778985
eeeehhh double scoops ice cream lunch today bliss x desserts bar promotion rm4,0,2,0.6970087
dont pop see england perfect opportunity talk business think,7,1,0.13370754
im replying,0,1,0.027723864
hoping good news week,0,2,0.96957034
good morning,0,2,0.76207113
creative thing speed experience jetblue though ankle hurt little,0,1,-0.22906552
good morning twitter critters,0,2,0.7416769
msn night id say pretty good,0,2,0.94451797
good luck uk release yer album today got love,0,2,0.9767699
new twitter world thinking ob best use,0,2,0.5785211
great veggie lasagna happy marathon monday boston folks,0,2,0.9823454
everyone go outside take deep breath exhaleall well wonderfully enchanting day namast,0,2,0.9794406
remember award elementary bear creek nice schools recognize hard work,0,2,0.8247688
take photo danny pls,0,1,0.066895
start step internship may 4th see,0,1,0.05057284
post something moron,0,0,-0.90335196
awesome im glad liked im jealous,0,2,0.89422697
theres thing called twittercom quite like,0,1,0.43424514
happy birthday great day thank following,0,2,0.9904326
gmornin pursebuzz coffee,0,1,0.093437225
woken lovely phone call boy great start monday feeling itll great,0,2,0.98969233
nonfat chai tea latte,0,1,0.15319228
take care,1,1,0.22614604
understand got ta work chew gum feel like smoking dad big smoker know things,0,1,-0.34171736
hey hey,0,1,0.1427663
maybe new beginning drawing follow,0,1,0.23135927
sweet dreams twitter,0,2,0.82458293
3 hours hai nick,0,1,-0.051379725
im starting really love runninganother 3 12 miles,0,2,0.9593472
wow gorgeous,0,2,0.9405124
dentist said teeth good bit clean polish good go,0,2,0.7989307
thanks got working eventually,0,1,0.45241696
im gon na see raphael saadiq perform live tonight,0,1,0.10730234
boy back todayyay,0,2,0.87096405
back drawing exercise sleep,0,1,0.03134425
working dont 2 readd u u need 2 go 2 sleep im sorry made u come great day 2morrow,0,2,0.32346097
blog pretty lame story unreleased bike seat tip awesome,0,1,0.03901398
hey whats good roxanna,0,1,0.39173207
yeah could see pics might provide problems lolz probs less,3,1,-0.35987467
got home bought hey mondays album today im glad really good,0,2,0.9872068
love version cool,8,2,0.94774103
im still dev living beijing,0,1,0.07501233
thought lt3 thats part makes feel like still cares im still,0,1,0.37375906
amazing day today relaxing refreshing much fun,0,2,0.9844491
help culture shock sd join us hooters mv wednesday 6001200 20 check support us drink merry,0,2,0.6596919
still figuring,0,1,0.020889014
congrats mate finally away cows living flat rainy graslands city heading,4,2,0.89479804
welcome twitterverse prerna,0,2,0.6203815
make giggle,0,2,0.7093959
2 see gorgeous friends played would make holiday extra special seeing england,0,2,0.9753451
radio station nowanother day,0,1,0.09987122
came home market market watched jashs cheerdance competition fun,0,2,0.8124894
ummm like 200 votes pwease,0,1,0.4265876
contemplating goals art weekend yes know tuesday,0,1,0.33134824
fare thee well tweetdom,0,1,0.37544203
good witch bad witch glinda wasnt ugly,7,2,0.40207058
thank made day,0,2,0.9424314
ano tong twitter,0,1,-0.0991642
yeah least using twitter baby steps,0,1,0.25675148
great early morning workout getting ready work,0,2,0.9163189
gon na go eat lunch yummy veg soup crusty bread,0,2,0.93212736
country week,0,1,0.07494567
home quiz wooo,0,2,0.50530267
shape different material different purpose,0,1,-0.042473525
plans hold one ireland,0,1,0.064275876
good morning,0,2,0.76207113
bought 3ft long puzzle last supper mail wonder many piece,0,1,0.08322623
cheesecake factory yay,0,2,0.891888
omggggg later practice tiring,0,0,-0.7147905
cheers looks yummyand fruity drink responsibly,0,2,0.98669964
says hello nath,0,1,0.06964785
tucking babies 3 1 barley hanging,0,0,-0.8878939
im sharing,0,1,0.18052761
murray thinks im adorkable,0,2,0.4768501
find interesting movies sounds like good one,0,2,0.9183801
way marbella spain see u guys later,0,1,0.20517431
happy weekend great father good morning yet side globe,9,2,0.9853522
guys go site unlimited free ringtones,0,2,0.54629034
okay ill keep look,0,1,0.24471503
nm regarding previous note see account nonalltop tweets,0,1,-0.10583554
think time kill zombies,8,0,-0.57671607
thanks mention,0,1,0.346062
going bed got ta lots energy play little man pooch,0,1,0.4529113
hey wasnt message im wearing peace bracelet represent,7,1,0.15038432
would cool got rights monkey made fifth one,4,2,0.5953605
enough body hair qualify,0,1,-0.05003819
bed time,0,1,0.04347597
dont know number,0,1,-0.27434707
hopes bunnys find carrots left,4,1,0.109451465
got early took 4 hour nap blowin watching movies,0,1,0.4051314
sure recommend likeevery scent,0,2,0.84669423
good night everyone love craig,0,2,0.96926063
aww bless,0,2,0.76863396
love new profile,0,2,0.9527373
really need get fixed,0,0,-0.60130584
service keeps track services available twitter,0,1,0.05347094
yes yes,0,2,0.7217646
nope unexpected happenings sister arrived home im gon na spending time,0,1,-0.056125663
followed lc step pratt miss hills havent seen lately,0,1,-0.16496813
yehey may picture na ako,0,1,0.06911786
loved work twilight,0,2,0.9639666
listen new maccabees stuff,0,1,0.059338816
good morning friends great day,0,2,0.98086184
new haircut yay,0,2,0.7658506
locky got vapor rub,0,1,0.04369659
drinky dranky drunk bed feels nice im listening kaskade 4 cuzwellits 4 gnight suckahz,0,2,0.8838426
got email euromillions 1270 enough set record label least get first round bar,1,1,0.036206514
looks stronger,0,2,0.88615894
hey need chat sometime soon hope youre ok,0,2,0.70213795
astrodude post man let know arrives wwr pieces btw,0,1,0.026954276
followed mcfly fate ahahaha,0,1,0.2724898
thnx found,0,1,0.32709113
cant complain,0,1,-0.1211161
awesome customer service mention great product,6,2,0.9543066
tweet might well chitchat,0,1,0.084613025
drink much vodka yay,0,2,0.7939025
guess specify kids need news ones,0,1,-0.14934862
quotsummer lookquot mr brogan,0,1,0.0074678734
thanks heads,0,1,0.07966365
buhahaha time massive follow furries,4,1,0.26127237
ps wasnt meblame totally,0,1,-0.28674597
think drink arse feck think,0,0,-0.8444775
ill see since citi field firsthand knowledge,0,1,0.07885677
well goodnyte tweet tomorrow,0,2,0.8654178
thinks templates plurk gue yg skrg gimana hahaha,0,1,0.044967853
early saturday madness,0,1,-0.17137827
watching twlight comentary,0,1,0.014787659
way work bead store last day home work new jewelry designs,1,1,0.12943998
omg raining go sit outside get soaking weton second thought thats bad idea gtlt,0,0,-0.9103988
well 2 new colts ill posting myspace website join us myspace,0,2,0.56383157
lulu follow twitter,0,1,0.023943245
case im gon na start tweeting nymphomanic pub owners like cook well worth shot eh,0,1,0.09136534
pleasure thank,0,2,0.95571995
whew homepage design done done,0,1,0.4181507
emotion stuff human love accept exactly,0,2,0.5071582
okay doke u neil,0,1,-0.05315739
ill walk 4 love animals,0,2,0.7311568
real life offline dont worry happy,0,2,0.690645
sounds really good well probably leftovers good leftovers dijon chicken frittatas,0,2,0.9800391
saw gentlemen honor society soundcheck,0,1,0.38162792
hellogoodbye walkingdistance house exactly 8 hours bad cant go,0,0,-0.7656285
wowzersi twitter absent whilefunilly enoughno wthdrawal symptoms woo hooi addicted,0,0,-0.50324804
thanks follow new icon looks great,0,2,0.9870942
think im gon na demand pics one,0,1,0.053555794
quickie workout watch satc,0,1,0.08379032
hi school model search work today aka employees get dress like theyre 80s win,6,1,0.114771746
last min trip austin woot,7,1,0.4527002
well im going go bed try sleep sickness good night,0,2,0.55867004
oh well tis first time,0,1,-0.24679345
one song little boom boom pow bed yay late nights,0,2,0.5062645
saturday night,0,1,0.10970912
sounds good,0,2,0.9452885
glad liked think blue moon thats acceptable dudes,1,2,0.881459
damn thats sucks well guess try next time already follow hehe,0,0,-0.75765663
started painting old bath use flower bed iz creative,0,2,0.6633343
keeping preserving share recipes pickle sure,0,1,0.14819872
isnt past bedtime kidding,0,1,-0.07416396
people get ont twitterto late going facebook,0,1,-0.40471214
got message boards talking prop 8 marriag,0,1,-0.023701135
heyy checked ur music ur myspace loved xx lt3,0,2,0.89930594
im raspberryfilledchocolateravioli high,0,1,0.41107
got tweetie ipod touch pretty sweet got chance listen fleet foxes yet theyre lolla,0,2,0.9617266
im gon na restart computer super quick ill 5 mins,0,1,0.28168425
hahahaha luhhh lt3 ttyt,0,1,0.2785627
hello world good morning sunshine good see im fine,0,2,0.96762383
watching v4v turning goodnight,0,1,0.37287793
figuring wants dream build,0,1,0.09912662
blipfm song posted twitter,0,1,0.03625867
like outer circle inner circlestepping back lot distractions thankfully,7,1,0.31712875
thanks ill tweet updates,0,1,0.33005568
maryborough rsl guy electric guitar playing great music sweet home alabama april sun cuba,0,2,0.96239465
indeed someone said pertinent question quotwhy u still speak esperantoquot,0,1,-0.20003319
lt3 xmen sooo many hot men yumms,0,2,0.9798063
hungover stopped drinking last night body said still lying bed making tea coffee,0,0,-0.664039
watching logies eating home made pie pjs awesome night,0,2,0.9737576
sent email tony blackburn blaming,0,1,-0.28319678
im visiting kimbobly,0,1,0.09337427
711 sushi could mistake made bigger ones,0,1,-0.2574626
drinking cognac yesterday afternoon actually yes medicinal purposes must think,0,2,0.62950736
ty 4 recommendations youre twitter cheers thankyou gmoney,0,2,0.9619532
follow dare,0,1,-0.02456396
joined forces great night ended staying booty beast social night jamming thanks,0,2,0.917897
pacquiao hes really one filipinos pride,0,1,0.3765392
via looked like cross denise ozzy,0,1,-0.03766904
last minute rhus monday interesting people inspiring presentation juicy steaks,0,2,0.928314
yeah ill survive went doctors bit worse flu good 7 10 days,0,1,0.27402636
drinking milk eating yummy cookies life,0,2,0.82264686
might wet excitement day footie sun wine pizza liv,0,2,0.5018727
part quotbankquot group westminster still got theme,0,1,0.06092473
watching jonas,0,1,0.08436765
amazing hahahah thank couldnt believe saw really sweet yess song,0,2,0.97780037
know find new layout hard,0,0,-0.5291339
guess expression,0,1,-0.059129864
ohh boy craziness marlatt,0,1,-0.22664516
sounds like viz top tip true,0,1,0.3168979
wakingup bright early sunday feels good,0,2,0.97917527
dude totally found someone looked like last night amazing say least,0,2,0.95271194
oh 4 real shown would love check outcongrats getting gig,0,2,0.97854406
happy hoppus day rock,0,2,0.9817103
talk football lunchtimeanything worse happy everyone mothers day fuckinamptouchinampsuckin hahhah,0,0,-0.77489716
still waiting 30 followers helpers please,0,1,0.07838032
going mall,0,1,0.024850518
hahai went red mine love,0,2,0.8618149
gives pass three pughug free hug anyone,0,1,0.37721688
checking blip playlist im sure youd make great store though earning real kudos legal free music,0,2,0.9469376
good morning finished apple fritter breakfast fruit serving day,0,2,0.7593743
love thowill def keep thatthank much info rock happy sunday,0,2,0.9793957
mmm french toast,0,1,0.15510252
woke derek sheppards voice,0,1,0.07006795
changed life thankyou love much god bless hero,0,2,0.98442745
relaxing hard shopping day,0,2,0.73572457
listening show whilst cooking good laura kelly heidi sarah x,0,2,0.84527844
im definitely feeling better,0,2,0.9540941
aahh cuddy power truly sexy,0,2,0.9291231
yes xoxo,0,2,0.6647003
youre welcome,0,2,0.9302879
sorry like watch movies explooosions big screen,0,1,0.1252468
good sunday morning raining im going make potato soup dinner rest day lazy day,0,2,0.86545736
ahaha youre funny,0,2,0.83290464
watching butter challenge iron chef love watch iron chef im bord,0,2,0.88410807
eat family,0,1,-0.18417153
eat balut youre dude dont ask much,0,1,-0.07961241
got hey monday shirt,0,1,0.20981419
great hanging hope youre fun disney,0,2,0.9768345
oooo theyre play offs,0,1,-0.077627376
playing sims talking phone alexandra birthday 6 days,0,1,0.1520086
laying bed watching moviethinkin nap,0,1,0.10905165
planning birthday partayyyy,0,1,0.47547245
hahaha may b next week,0,1,0.46608967
whoothats crazaaay,0,1,-0.06425615
im excited see,0,2,0.97755855
drove tuckers chillin oh im crazy little ilybff4llt3,0,2,0.630438
everyone wants look like coupla years ago honestly nothing worry,0,1,0.1805116
got jaime right,0,1,0.1864347
follow 10 followers away 700 help,0,1,0.16963191
especially since didnt rain,0,1,0.13768859
nothing leg warmers cant fix,0,0,-0.4130638
holy shit,0,0,-0.32671198
twothirds actually,0,1,-0.089109756
cant say anything great song,0,1,0.14252542
supa bored fixing aim itll everyone get twitter updates delivered,0,1,-0.08163202
recommend tea party 20,0,1,0.15347026
thanks much going proud papa mode try post every single pic,0,2,0.90005803
forget longer live texas 1 good bbq 2 good steak,0,2,0.8421824
got email im friend get home sure reply cant wait check,0,2,0.81556046
minitrip erin florida june got better,0,2,0.8816339
oh well saw knew meant,0,1,-0.18369439
im following u man follow,0,1,0.39609605
please make saturday,0,1,0.46656242
hopefully roomies wont become obsessed try kill like one movie single white female,0,0,-0.4643388
red ut sand lash extensions,0,1,-0.027400382
hey homie happy birthday massive,0,2,0.96912545
believe elvis works burger king knows khlo definatly bit mystery,0,1,0.11908476
new computer woot,0,2,0.8261831
long snore couch rulz,0,1,-0.14162907
alright ill leave guys song bye bye third eye blind semi charmed life,0,1,-0.26468867
brainstorming designing love,0,2,0.5303033
im happy content,0,2,0.95335287
oh ok im another city theyre capital,0,1,-0.007368356
lets see whats demand catch guys later good luck hun,0,2,0.69269574
good nite everyone best wishes finals students rest u real world try 2 enjoy ur work week p,0,2,0.96347755
never occur,0,1,-0.28231668
finally met someone first time today trying long,0,2,0.6969407
20 wards ward live,0,1,-0.015836634
awesome got busy two weeks uni birthday melbourne,0,2,0.7117375
papers didnt mention anything hit early year well,0,1,-0.33477145
learned good news ad david congratulations cant wait see,0,2,0.9846635
cheers man,0,2,0.8668834
well need get bed chat everyone tomorrow,0,1,0.06498375
fancy 187 hun got u doin things u aint never done,0,1,-0.114584714
really needa find stastics,0,1,-0.11901466
invited join group second life called quotballistic autisticsquot cute name,3,2,0.6594607
24hrs time uni waiting start 1st exam scary working hard morning though feeling ok atm,0,2,0.56203246
get dinner,0,1,0.08448265
deplurk buhbyeee,0,1,0.20653038
eating titos home made ice cream yum,0,2,0.92773515
well good luck,9,2,0.8669038
oki great best,3,2,0.83736527
hahahahaha day,0,2,0.68878
bank holiday day,0,1,0.13017282
dont ever many times,0,1,-0.25321484
got back saw yr tweet 730pm monday mayday public holiday,0,1,0.09568474
oh nice hope wonderfully relaxing day,0,2,0.9828821
working framework web based application product registration server login site security comms done,0,1,0.20620093
totally agree,0,2,0.5929362
iphone nano iphone shuffle surprises really happens,0,2,0.6601442
love pb banana sandwiches still fav mine,0,2,0.94548273
stephen king fo sho,0,1,0.039376047
another week begins one got better last,0,2,0.9389595
mom likes milows version ayo technology good thing doesnt clue,0,1,0.39839798
yum yum love quesadillasand wallpaper matter tooo,0,2,0.9727469
shall bring glass work tonight half half hor,0,1,0.038985405
thanks elephants look magnificent miss due stupid restrictions 3g pleease cheap,0,2,0.34449273
okay well dont feel bad lmao,0,2,0.5332391
surfing twitter,0,1,0.051190265
today wonder love mondays movie theatrehere come,0,2,0.9127439
yeah spammers discriminating none females part target group apparently,0,0,-0.76632535
yet early,0,1,-0.10133283
mango shake made difference,0,2,0.61374825
back li 2hours ago n still made work yay,0,2,0.72981274
id like see picture carl john everyone read faces youre proud love eachother,0,2,0.93033534
im looking warblers seen yellow far blue grey gnatcatcher,0,1,0.10333597
see coffee table r u cominging 2 insult cleaning rest house,0,1,-0.052594457
thanks follow,0,2,0.760059
oh thanks help,0,2,0.8186703
der maaaaster back,0,1,0.16198456
every kiss give ill give three,0,1,0.43679723
old enough know better young enough care,0,1,0.14691205
oh wow really good think im going use one,0,2,0.984465
wishes wasnt bank holiday could radio afternoon least another week come ideas,1,1,-0.0019109994
har varit p hannah montana movie cool,0,2,0.8993906
man great sense humour venky pachad,0,2,0.7162077
